violation_county,street_name,house_number,full_address,lat,lon
K,OCEAN AVENUE,622,"622 OCEAN AVENUE, K, NYC",40.647655,-73.960918
NY,Great Jones St,9,"9 Great Jones St, NY, NYC",40.727264,-73.994029
NY,Gramercy Park,100E,"100E Gramercy Park, NY, NYC",40.738711,-73.987069
Q,179th St,110-23,"110-23 179th St, Q, NYC",40.69842,-73.775158
Bronx,BRONXWOOD AVENUE,2570,"2570 BRONXWOOD AVENUE, Bronx, NYC",40.865302,-73.861371
NY,Cabrini Blvd,219,"219 Cabrini Blvd, NY, NYC",40.85488,-73.93832
Q,39th Ave,64-11,"64-11 39th Ave, Q, NYC",40.746432,-73.8993
K,BRIDGE PK DR,159,"159 BRIDGE PK DR, K, NYC",40.6941,-74.000497
BX,E 161st St,S,"S E 161st St, BX, NYC",40.824455,-73.914679
NY,W 24th St,N,"N W 24th St, NY, NYC",40.850482,-73.935429
NY,3rd Ave,1474,"1474 3rd Ave, NY, NYC",40.777235,-73.955488
NY,8 AVENUE,2381,"2381 8 AVENUE, NY, NYC",40.762915,-73.985649
Q,Hillside Ave,172-29,"172-29 Hillside Ave, Q, NYC",40.712222,-73.789269
NY,3rd Ave,708,"708 3rd Ave, NY, NYC",40.752381,-73.97371
K,E 92 ST,5,"5 E 92 ST, K, NYC",40.663941,-73.92949
Q,67th Ave,N,"N 67th Ave, Q, NYC",40.75168,-73.738407
K,AUBURN PL,14,"14 AUBURN PL, K, NYC",40.694118,-73.977319
K,Poly Pl,N,"N Poly Pl, K, NYC",40.610203,-74.026935
NY,E 76th St,231,"231 E 76th St, NY, NYC",40.771785,-73.957005
BX,E 203 ST,270,"270 E 203 ST, BX, NYC",40.873148,-73.884089
NY,St Nicholas Ave,1390,"1390 St Nicholas Ave, NY, NYC",40.848317,-73.934181
K,Bergen St,658,"658 Bergen St, K, NYC",40.679103,-73.967562
K,Utica Ave,1784,"1784 Utica Ave, K, NYC",40.628746,-73.928205
Qns,58 STREET,41-37,"41-37 58 STREET, Qns, NYC",40.743567,-73.90684
K,ETNA ST,408,"408 ETNA ST, K, NYC",40.687839,-73.868836
NY,WEST 137 STREET,297,"297 WEST 137 STREET, NY, NYC",40.817878,-73.945163
Q,58 ROAD,59-77,"59-77 58 ROAD, Q, NYC",40.72068,-73.9062
K,Bedford Ave,2619,"2619 Bedford Ave, K, NYC",40.639348,-73.95388
Kings,EASTERN PARKWAY,293,"293 EASTERN PARKWAY, Kings, NYC",40.671268,-73.959075
NY,E 12th St,511,"511 E 12th St, NY, NYC",40.72894,-73.980619
K,LORIMER ST,776,"776 LORIMER ST, K, NYC",40.720174,-73.950036
Q,Broadway,31-08,"31-08 Broadway, Q, NYC",40.761735,-73.925166
Qns,ONDERDONK AVENUE,752,"752 ONDERDONK AVENUE, Qns, NYC",40.703311,-73.906329
NY,E 27th St,45,"45 E 27th St, NY, NYC",40.74296,-73.98486
Bronx,GLEBE AVENUE,2121,"2121 GLEBE AVENUE, Bronx, NYC",40.834751,-73.850391
K,50th St,1173,"1173 50th St, K, NYC",40.636029,-73.995091
NY,W 167th St,S,"S W 167th St, NY, NYC",40.723969,-73.801348
NY,W 38th St,70,"70 W 38th St, NY, NYC",40.752048,-73.985571
Q,Roosevelt Ave,88-05,"88-05 Roosevelt Ave, Q, NYC",40.748407,-73.878104
BX,3rd Ave,3872,"3872 3rd Ave, BX, NYC",40.83911,-73.90023
NY,Amsterdam Ave,610,"610 Amsterdam Ave, NY, NYC",40.790063,-73.973507
Kings,DEKALB AVENUE,1365,"1365 DEKALB AVENUE, Kings, NYC",40.699076,-73.924651
NY,7th Ave,561,"561 7th Ave, NY, NYC",40.754754,-73.987522
NY,Hudson St,632,"632 Hudson St, NY, NYC",40.738443,-74.005274
BX,Willett Ave,3680,"3680 Willett Ave, BX, NYC",40.881439,-73.865261
Bronx,EAST MOSHOLU PARKWAY,115,"115 EAST MOSHOLU PARKWAY, Bronx, NYC",40.87752,-73.88201
Q,86th Ave,108-03,"108-03 86th Ave, Q, NYC",40.69816,-73.84056
Q,141st St,W,"W 141st St, Q, NYC",40.820576,-73.944449
R,Chelsea Rd,300,"300 Chelsea Rd, R, NYC",40.611444,-74.188736
NY,E 66th St,1,"1 E 66th St, NY, NYC",40.768632,-73.969315
NY,Broadway,2427,"2427 Broadway, NY, NYC",40.790549,-73.975112
BX,E 172nd St,257,"257 E 172nd St, BX, NYC",40.840432,-73.910571
NY,W 43rd St,4,"4 W 43rd St, NY, NYC",40.754349,-73.981216
K,Joralemon St,132,"132 Joralemon St, K, NYC",40.692812,-73.994059
NY,E 7th St,220,"220 E 7th St, NY, NYC",40.72418,-73.979552
Q,41st St,31-48,"31-48 41st St, Q, NYC",40.759857,-73.917447
Qns,JAMAICA AVENUE,86-09,"86-09 JAMAICA AVENUE, Qns, NYC",40.692794,-73.857835
Q,115th St,W,"W 115th St, Q, NYC",40.804045,-73.956571
NY,South St,W,"W South St, NY, NYC",40.706887,-74.002018
K,Prospect Pl,299,"299 Prospect Pl, K, NYC",40.677369,-73.966514
NY,W 141st St,144,"144 W 141st St, NY, NYC",40.818196,-73.93928
Q,57 RD,59-38,"59-38 57 RD, Q, NYC",40.722363,-73.906117
K,Clarkson Ave,599,"599 Clarkson Ave, K, NYC",40.656389,-73.938661
Q,Queens Blvd,97-45,"97-45 Queens Blvd, Q, NYC",40.729526,-73.859463
K,Coney Island Ave,507,"507 Coney Island Ave, K, NYC",40.645461,-73.970389
BX,CROES AVE,1211,"1211 CROES AVE, BX, NYC",40.829815,-73.870931
Q,46th Ave,101-17,"101-17 46th Ave, Q, NYC",40.745809,-73.862514
Q,111th St,45-02,"45-02 111th St, Q, NYC",40.74864,-73.85449
NY,Laguardia Pl,E,"E Laguardia Pl, NY, NYC",40.717271,-73.985608
Qns,STEINWAY STREET,36-07,"36-07 STEINWAY STREET, Qns, NYC",40.753224,-73.923349
NY,3rd Ave,E,"E 3rd Ave, NY, NYC",40.770224,-73.960256
NY,W 11th St,155,"155 W 11th St, NY, NYC",40.736524,-74.000598
NY,Columbus Ave,208,"208 Columbus Ave, NY, NYC",40.775781,-73.980212
BX,Grand Concourse,900,"900 Grand Concourse, BX, NYC",40.82737,-73.92193
Q,Roosevelt Ave,133-35,"133-35 Roosevelt Ave, Q, NYC",40.75891,-73.833194
NY,W 71st St,267,"267 W 71st St, NY, NYC",40.779013,-73.98424
BX,E 149th St,385,"385 E 149th St, BX, NYC",40.816401,-73.918341
NY,Bedford St,6,"6 Bedford St, NY, NYC",40.728934,-74.003244
K,Remsen St,S,"S Remsen St, K, NYC",40.694155,-73.994737
NY,Watts St,N,"N Watts St, NY, NYC",40.723779,-74.006291
Q,37th St,E,"E 37th St, Q, NYC",40.74775,-73.977017
Kings,3 AVENUE,7605,"7605 3 AVENUE, Kings, NYC",40.61284,-73.82146
NY,W 67th St,2,"2 W 67th St, NY, NYC",40.773082,-73.978736
K,Kings Hwy,1304,"1304 Kings Hwy, K, NYC",40.60798,-73.9598
K,Foster Ave,S,"S Foster Ave, K, NYC",40.638981,-73.899153
BX,Cross Bronx Expy,E,"E Cross Bronx Expy, BX, NYC",40.83388,-73.862876
BX,Valentine Ave,2975,"2975 Valentine Ave, BX, NYC",40.872054,-73.886233
NY,Wadsworth Ave,125,"125 Wadsworth Ave, NY, NYC",40.848729,-73.935411
NY,5th Ave,142,"142 5th Ave, NY, NYC",40.73939,-73.99166
Q,Nicolls Ave,101-60,"101-60 Nicolls Ave, Q, NYC",40.744885,-73.862343
Q,24th Ave,27-09,"27-09 24th Ave, Q, NYC",40.77385,-73.917312
Bronx,JEFFERSON PLACE,653,"653 JEFFERSON PLACE, Bronx, NYC",40.833283,-73.89917
NY,W 81st St,25,"25 W 81st St, NY, NYC",40.782867,-73.973058
NY,Riverside Dr,258,"258 Riverside Dr, NY, NYC",40.79689,-73.97366
Kings,EAST 31 STREET,1386,"1386 EAST 31 STREET, Kings, NYC",40.617641,-73.944338
Q,29th St,26-03,"26-03 29th St, Q, NYC",40.770283,-73.919811
Q,Austin St,63-51,"63-51 Austin St, Q, NYC",40.727598,-73.864388
NY,Barrow St,N,"N Barrow St, NY, NYC",40.731652,-74.006394
Bronx,EAST 146 STREET,135,"135 EAST 146 STREET, Bronx, NYC",40.817619,-73.929081
Kings,ATLANTIC AVENUE,2129,"2129 ATLANTIC AVENUE, Kings, NYC",40.676391,-73.908508
NY,2nd Ave,459,"459 2nd Ave, NY, NYC",40.739788,-73.979797
NY,University Pl,70,"70 University Pl, NY, NYC",40.733198,-73.993711
Q,Daniels St,84-55,"84-55 Daniels St, Q, NYC",40.71217,-73.813801
NY,W 160th St,600,"600 W 160th St, NY, NYC",40.836088,-73.944138
NY,E 63rd St,140,"140 E 63rd St, NY, NYC",40.764456,-73.966174
BX,3rd Ave,3055,"3055 3rd Ave, BX, NYC",40.8204,-73.913134
NY,W 181st St,720,"720 W 181st St, NY, NYC",40.85039,-73.93692
Bronx,WESTCHESTER AVENUE,1797,"1797 WESTCHESTER AVENUE, Bronx, NYC",40.831965,-73.866585
Kings,DITMAS AVENUE,9411,"9411 DITMAS AVENUE, Kings, NYC",40.65044,-73.911521
NY,E 30th St,330,"330 E 30th St, NY, NYC",40.741526,-73.976479
Kings,10 STREET,126,"126 10 STREET, Kings, NYC",40.60308,-73.75167
NY,3rd Ave,2055,"2055 3rd Ave, NY, NYC",40.79564,-73.94124
NY,W 35th St,224,"224 W 35th St, NY, NYC",40.75195,-73.991244
BX,White Plains Rd,3939,"3939 White Plains Rd, BX, NYC",40.886895,-73.861243
NY,E 20th St,440,"440 E 20th St, NY, NYC",40.733853,-73.978328
K,New Utrecht Ave,5219,"5219 New Utrecht Ave, K, NYC",40.63348,-73.994982
Q,Beech Ave,143-63,"143-63 Beech Ave, Q, NYC",40.75758,-73.819078
Q,Wexford Ter,178-10,"178-10 Wexford Ter, Q, NYC",40.712803,-73.785029
K,Meserole St,293,"293 Meserole St, K, NYC",40.708843,-73.936211
NY,E 11th St,41,"41 E 11th St, NY, NYC",40.733235,-73.992826
Qns,WHITNEY AVENUE,85-25,"85-25 WHITNEY AVENUE, Qns, NYC",40.741668,-73.879482
NY,W 17th St,248,"248 W 17th St, NY, NYC",40.741135,-74.000361
NY,10th Ave,699,"699 10th Ave, NY, NYC",40.763309,-73.993098
NY,EDGECOMBE,409,"409 EDGECOMBE, NY, NYC",40.829304,-73.940027
Q,90 ST,84-33,"84-33 90 ST, Q, NYC",40.76876,-73.87972
K,Avenue M,N,"N Avenue M, K, NYC",40.636148,-73.89486
NY,W 72nd St,226,"226 W 72nd St, NY, NYC",40.77897,-73.983066
K,Cornelia St,418,"418 Cornelia St, K, NYC",40.697439,-73.908103
NY,E 16th St,130,"130 E 16th St, NY, NYC",40.734903,-73.987373
K,VAN SICLEN AVE,788,"788 VAN SICLEN AVE, K, NYC",40.65973,-73.88574
Bronx,EAST 187 STREET,737,"737 EAST 187 STREET, Bronx, NYC",40.853984,-73.883146
NY,E 1st St,50,"50 E 1st St, NY, NYC",40.72392,-73.989559
K,Washington Ave,762,"762 Washington Ave, K, NYC",40.67519,-73.963481
BX,E 229th St,S,"S E 229th St, BX, NYC",40.888251,-73.851432
NY,Christopher St,82,"82 Christopher St, NY, NYC",40.733379,-74.003632
K,Gates Ave,1430,"1430 Gates Ave, K, NYC",40.696943,-73.914483
NY,W 87th St,3,"3 W 87th St, NY, NYC",40.786355,-73.969274
BX,Tibbett Ave,E,"E Tibbett Ave, BX, NYC",40.886475,-73.902043
K,12th St,264,"264 12th St, K, NYC",40.667548,-73.988624
K,Vernon Ave,S,"S Vernon Ave, K, NYC",40.638981,-73.899153
NY,West End Ave,675,"675 West End Ave, NY, NYC",40.793145,-73.975065
Q,213th St,E,"E 213th St, Q, NYC",40.877848,-73.859652
NY,W 17th St,128,"128 W 17th St, NY, NYC",40.739738,-73.997017
K,Avenue C,N,"N Avenue C, K, NYC",40.7364,-73.729767
K,8th Ave,5707,"5707 8th Ave, K, NYC",40.636871,-74.007844
NY,E 26th St,N,"N E 26th St, NY, NYC",40.741319,-73.983114
K,Georgia Ave,641,"641 Georgia Ave, K, NYC",40.660877,-73.894225
NY,Madison Ave,501,"501 Madison Ave, NY, NYC",40.759283,-73.974336
BX,3rd Ave,3603,"3603 3rd Ave, BX, NYC",40.83324,-73.90504
NY,8th Ave,600,"600 8th Ave, NY, NYC",40.755337,-73.990893
Q,Jamaica Ave,135-02,"135-02 Jamaica Ave, Q, NYC",40.702244,-73.817482
NY,E 32nd St,S,"S E 32nd St, NY, NYC",40.745266,-73.981
NY,Grand St,319,"319 Grand St, NY, NYC",40.717121,-73.990958
NY,6th Ave,406,"406 6th Ave, NY, NYC",40.733726,-73.9992
Q,34th Ave,S,"S 34th Ave, Q, NYC",40.776804,-73.743417
NY,Broadway,2897,"2897 Broadway, NY, NYC",40.806089,-73.965683
K,W 29 STREET,3028,"3028 W 29 STREET, K, NYC",40.572062,-73.995031
NY,W 91st St,S,"S W 91st St, NY, NYC",40.790604,-73.972016
Q,Jamaica Ave,96-14,"96-14 Jamaica Ave, Q, NYC",40.694375,-73.848931
NY,W 19th St,400,"400 W 19th St, NY, NYC",40.744019,-74.003538
K,Remsen St,79,"79 Remsen St, K, NYC",40.694491,-73.995257
NY,E 63rd St,250,"250 E 63rd St, NY, NYC",40.763218,-73.963088
K,BAY 16 ST,8794,"8794 BAY 16 ST, K, NYC",40.604323,-74.00839
Q,74th Ave,260-12,"260-12 74th Ave, Q, NYC",40.750142,-73.714338
NY,8th Ave,400,"400 8th Ave, NY, NYC",40.749367,-73.99522
Q,9th St,38-69,"38-69 9th St, Q, NYC",40.757428,-73.94481
Kings,AVENUE V,4200,"4200 AVENUE V, Kings, NYC",40.607657,-73.921605
NY,W 121st St,144,"144 W 121st St, NY, NYC",40.805808,-73.949257
Qns,31 STREET,37-21,"37-21 31 STREET, Qns, NYC",40.75448,-73.93123
K,Dekalb Ave,832,"832 Dekalb Ave, K, NYC",40.692051,-73.94305
NY,W Broadway,115,"115 W Broadway, NY, NYC",40.716202,-74.00847
K,Brighton 6th St,2926,"2926 Brighton 6th St, K, NYC",40.580628,-73.962722
NY,Greenwich Ave,118,"118 Greenwich Ave, NY, NYC",40.738512,-74.002171
K,Church Ave,31,"31 Church Ave, K, NYC",40.642177,-73.982088
NY,Henry St,219,"219 Henry St, NY, NYC",40.713843,-73.986562
Kings,WEST 37 STREET,2709,"2709 WEST 37 STREET, Kings, NYC",40.579436,-74.00339
BX,Bogart Ave,W,"W Bogart Ave, BX, NYC",40.849659,-73.859687
NY,W 57th St,215,"215 W 57th St, NY, NYC",40.766109,-73.980705
Q,College Point Blvd,18-14,"18-14 College Point Blvd, Q, NYC",40.752269,-73.832452
K,Park Pl,1480,"1480 Park Pl, K, NYC",40.672044,-73.92845
NY,Grand St,190,"190 Grand St, NY, NYC",40.719416,-73.997023
Q,70th Rd,108-48,"108-48 70th Rd, Q, NYC",40.722611,-73.842434
K,MERMAID AVE,1915,"1915 MERMAID AVE, K, NYC",40.57663,-73.986369
Q,128th St,107-50,"107-50 128th St, Q, NYC",40.685045,-73.815365
R,Bay St,155,"155 Bay St, R, NYC",40.67234,-74.004068
NY,7th Ave S,167,"167 7th Ave S, NY, NYC",40.7357,-74.001381
NY,3rd Ave,2205,"2205 3rd Ave, NY, NYC",40.800661,-73.937705
Q,Crane St,W,"W Crane St, Q, NYC",40.745105,-73.94629
Q,100th St,101-56,"101-56 100th St, Q, NYC",40.683621,-73.841422
K,E 17th St,1838,"1838 E 17th St, K, NYC",40.60505,-73.955821
NY,Bowery,207,"207 Bowery, NY, NYC",40.721251,-73.993336
NY,3rd Ave,1219A,"1219A 3rd Ave, NY, NYC",40.768621,-73.961311
K,MCDONALD AVE,35,"35 MCDONALD AVE, K, NYC",40.654175,-73.981216
Bronx,ARLINGTON AVENUE,2700,"2700 ARLINGTON AVENUE, Bronx, NYC",40.880164,-73.914948
NY,E 87th St,S,"S E 87th St, NY, NYC",40.778933,-73.952152
NY,E 39th St,10,"10 E 39th St, NY, NYC",40.750968,-73.981669
Q,87th Rd,144-36,"144-36 87th Rd, Q, NYC",40.706087,-73.81067
NY,W 9th St,S,"S W 9th St, NY, NYC",40.733615,-73.997704
K,Rochester Ave,143,"143 Rochester Ave, K, NYC",40.67438,-73.927551
Q,70th Rd,107-40,"107-40 70th Rd, Q, NYC",40.721852,-73.845051
K,Willmohr St,1003,"1003 Willmohr St, K, NYC",40.65539,-73.920684
NY,E 9th St,717,"717 E 9th St, NY, NYC",40.725044,-73.976939
Q,82nd St,40-23,"40-23 82nd St, Q, NYC",40.746943,-73.883666
K,E 22nd St,639,"639 E 22nd St, K, NYC",40.63673,-73.956477
BX,Fort Independence St,3334,"3334 Fort Independence St, BX, NYC",40.878896,-73.89935
NY,W 13th St,224,"224 W 13th St, NY, NYC",40.738268,-74.001544
NY,Mott St,302,"302 Mott St, NY, NYC",40.724915,-73.993904
K,86th St,1857,"1857 86th St, K, NYC",40.606615,-74.00113
Q,32nd Ave,79-01,"79-01 32nd Ave, Q, NYC",40.757614,-73.888437
Q,27th St,42-20,"42-20 27th St, Q, NYC",40.749832,-73.940696
NY,3rd Ave,439,"439 3rd Ave, NY, NYC",40.74335,-73.979623
Q,Woodside Ave,62-07,"62-07 Woodside Ave, Q, NYC",40.744685,-73.902209
K,Nostrand Ave,3547,"3547 Nostrand Ave, K, NYC",40.597528,-73.940489
R,Jewett Ave,926,"926 Jewett Ave, R, NYC",40.613615,-74.131044
Kings,67 STREET,738,"738 67 STREET, Kings, NYC",40.5977,-73.79698
NY,University Pl,88,"88 University Pl, NY, NYC",40.733775,-73.993258
K,Humboldt St,91,"91 Humboldt St, K, NYC",40.704403,-73.941217
K,Rutherford Pl,51,"51 Rutherford Pl, K, NYC",40.605557,-74.005398
K,Halsey St,272,"272 Halsey St, K, NYC",40.682406,-73.942905
K,Nassau Ave,333,"333 Nassau Ave, K, NYC",40.726469,-73.937237
Q,Sutphin Blvd,95-08,"95-08 Sutphin Blvd, Q, NYC",40.698075,-73.80651
Q,43rd Ave,42-12,"42-12 43rd Ave, Q, NYC",40.74516,-73.92169
Q,Hoover Ave,143-16,"143-16 Hoover Ave, Q, NYC",40.71405,-73.814603
K,W 29th St,2960,"2960 W 29th St, K, NYC",40.573891,-73.99524
NY,Broadway,3669,"3669 Broadway, NY, NYC",40.830443,-73.947839
K,3rd Ave,8007,"8007 3rd Ave, K, NYC",40.627554,-74.029108
NY,W 30th St,361,"361 W 30th St, NY, NYC",40.750803,-73.99753
NY,Bleecker St,W,"W Bleecker St, NY, NYC",40.728967,-74.000771
Q,150 ST,106-38,"106-38 150 ST, Q, NYC",40.698227,-73.802743
NY,E 21ST STREET,201,"201 E 21ST STREET, NY, NYC",40.737508,-73.983692
BX,E 190th St,66,"66 E 190th St, BX, NYC",40.86287,-73.898635
BX,Cross Bronx Expy,W,"W Cross Bronx Expy, BX, NYC",40.83388,-73.862876
BX,ERDMAN PLACE,100,"100 ERDMAN PLACE, BX, NYC",40.86337,-73.823311
Q,Bell Blvd,41-25,"41-25 Bell Blvd, Q, NYC",40.762894,-73.770357
Q,Liberty Ave,96-13,"96-13 Liberty Ave, Q, NYC",40.680849,-73.842655
Q,Jamaica Ave,170-20,"170-20 Jamaica Ave, Q, NYC",40.707161,-73.788923
K,66th St,1123,"1123 66th St, K, NYC",40.627786,-74.005762
NY,5th Ave,91,"91 5th Ave, NY, NYC",40.737631,-73.992126
Q,147th St,E,"E 147th St, Q, NYC",40.81191,-73.910206
Q,Surrey Pl,80-12,"80-12 Surrey Pl, Q, NYC",40.72626,-73.789242
Q,Jamaica Ave,84-42,"84-42 Jamaica Ave, Q, NYC",40.692342,-73.859287
BX,Grand Concourse,2440,"2440 Grand Concourse, BX, NYC",40.837115,-73.915174
Q,Union Turnpike,179-28,"179-28 Union Turnpike, Q, NYC",40.726733,-73.788088
NY,Bowery,351,"351 Bowery, NY, NYC",40.726575,-73.991485
Kings,10 AVENUE,7906,"7906 10 AVENUE, Kings, NYC",40.60599,-73.8182
K,BRIDGE PARK DR,50,"50 BRIDGE PARK DR, K, NYC",40.69284,-74.00068
NY,Adam Clayton Powell,2472,"2472 Adam Clayton Powell, NY, NYC",40.82095,-73.94003
NY,EAST 79 STREET,435,"435 EAST 79 STREET, NY, NYC",40.771741,-73.950731
Q,Hillside Ave,255-09,"255-09 Hillside Ave, Q, NYC",40.736598,-73.712489
NY,W 78th St,200,"200 W 78th St, NY, NYC",40.782397,-73.979138
NY,E 16th St,310,"310 E 16th St, NY, NYC",40.643125,-73.964063
Kings,NEW LOTS AVENUE,300,"300 NEW LOTS AVENUE, Kings, NYC",40.66077,-73.89523
NY,7th Ave S,17,"17 7th Ave S, NY, NYC",40.73015,-74.00457
Q,63rd Ave,W,"W 63rd Ave, Q, NYC",40.755922,-73.727546
BX,E 182nd St,700,"700 E 182nd St, BX, NYC",40.850337,-73.886938
NY,W 8th St,41,"41 W 8th St, NY, NYC",40.733243,-73.998267
Q,STEINWAY ST,3008,"3008 STEINWAY ST, Q, NYC",40.76372,-73.915353
Q,161st St,W,"W 161st St, Q, NYC",40.830721,-73.931154
NY,W 187th St,N,"N W 187th St, NY, NYC",40.853807,-73.932769
Q,127th St,8407,"8407 127th St, Q, NYC",40.70709,-73.82489
Q,Northern Blvd,138-12,"138-12 Northern Blvd, Q, NYC",40.763794,-73.827631
BX,E 163rd St,N,"N E 163rd St, BX, NYC",40.823512,-73.906448
NY,W 50th St,200,"200 W 50th St, NY, NYC",40.761142,-73.983619
Q,74th St,37-26,"37-26 74th St, Q, NYC",40.748211,-73.891901
K,Montague St,84,"84 Montague St, K, NYC",40.695152,-73.996071
K,Willoughby St,89,"89 Willoughby St, K, NYC",40.69226,-73.985508
NY,W 45th St,S,"S W 45th St, NY, NYC",40.759569,-73.989357
K,3rd Ave,9215,"9215 3rd Ave, K, NYC",40.619071,-74.032615
K,ARLINGTON AVE,306,"306 ARLINGTON AVE, K, NYC",40.680885,-73.883221
Q,159th St,108-,"108- 159th St, Q, NYC",40.694526,-73.793789
NY,EDGECOMBE AVE,409,"409 EDGECOMBE AVE, NY, NYC",40.829304,-73.940027
K,S 8th St,162,"162 S 8th St, K, NYC",40.70928,-73.96287
Q,Liberty Ave,104-20,"104-20 Liberty Ave, Q, NYC",40.682129,-73.836252
BX,Grand Concourse,2486,"2486 Grand Concourse, BX, NYC",40.86201,-73.897
NY,Broadway,2566,"2566 Broadway, NY, NYC",40.79479,-73.97137
NY,Columbus Ave,E,"E Columbus Ave, NY, NYC",40.785377,-73.973005
NY,Jones St,27,"27 Jones St, NY, NYC",40.732045,-74.002935
K,Homecrest Ave,2061,"2061 Homecrest Ave, K, NYC",40.599278,-73.959075
NY,Riverside Dr,24,"24 Riverside Dr, NY, NYC",40.782056,-73.984659
K,N 6th St,76,"76 N 6th St, K, NYC",40.718999,-73.961435
NY,Broadway,565,"565 Broadway, NY, NYC",40.724224,-73.998075
Q,Northern Blvd,137-28,"137-28 Northern Blvd, Q, NYC",40.76313,-73.829975
BX,E Gun Hill Rd,1320,"1320 E Gun Hill Rd, BX, NYC",40.871222,-73.848059
BX,MORRIS AVE,1501,"1501 MORRIS AVE, BX, NYC",40.841068,-73.909784
Q,166 ST,8730,"8730 166 ST, Q, NYC",40.58279,-73.821256
Q,Main St,37-11,"37-11 Main St, Q, NYC",40.761379,-73.830606
Q,YELLOWSTONE BLVD,67-11,"67-11 YELLOWSTONE BLVD, Q, NYC",40.728027,-73.848831
Q,88th St,32-11,"32-11 88th St, Q, NYC",40.709058,-73.863625
Q,148TH ST,90-19,"90-19 148TH ST, Q, NYC",40.70261,-73.80703
BX,E 201st St,S,"S E 201st St, BX, NYC",40.870931,-73.883462
BX,Newbold Ave,2072,"2072 Newbold Ave, BX, NYC",40.832831,-73.854649
Q,STEINWAY ST,25-51,"25-51 STEINWAY ST, Q, NYC",40.766577,-73.912526
K,Utica Ave,926,"926 Utica Ave, K, NYC",40.650503,-73.93055
NY,Lenox Ave,30,"30 Lenox Ave, NY, NYC",40.79921,-73.9514
NY,Madison Ave,870,"870 Madison Ave, NY, NYC",40.77092,-73.966266
NY,W 44th St,522,"522 W 44th St, NY, NYC",40.761393,-73.995911
BX,Antin Pl,2040,"2040 Antin Pl, BX, NYC",40.851542,-73.864698
NY,Church St,E,"E Church St, NY, NYC",40.766693,-73.743978
NY,Broome St,244,"244 Broome St, NY, NYC",40.7179,-73.98916
NY,3rd Ave,1566,"1566 3rd Ave, NY, NYC",40.78012,-73.953325
NY,3rd Ave,1457,"1457 3rd Ave, NY, NYC",40.776383,-73.955543
NY,Pearl St,W,"W Pearl St, NY, NYC",40.707011,-74.00644
BX,Bainbridge Ave,3591,"3591 Bainbridge Ave, BX, NYC",40.883937,-73.878007
NY,3rd Ave,1628,"1628 3rd Ave, NY, NYC",40.782361,-73.95162
Bronx,EAST 138 STREET,637,"637 EAST 138 STREET, Bronx, NYC",40.805973,-73.914976
BX,E 140th St,481,"481 E 140th St, BX, NYC",40.809547,-73.919438
Q,Edgerton Blvd,17528,"17528 Edgerton Blvd, Q, NYC",40.716111,-73.786943
Kings,DITMAS AVENUE,9502,"9502 DITMAS AVENUE, Kings, NYC",40.6507,-73.91047
NY,E 126th St,10,"10 E 126th St, NY, NYC",40.80669,-73.941315
NY,Broome St,429,"429 Broome St, NY, NYC",40.721322,-73.999274
Q,Austin St,S,"S Austin St, Q, NYC",40.72054,-73.845802
K,E 49th St,900,"900 E 49th St, K, NYC",40.639304,-73.930304
Bronx,ASTOR AVENUE,726,"726 ASTOR AVENUE, Bronx, NYC",40.859401,-73.866246
Q,34th St,30-89,"30-89 34th St, Q, NYC",40.763474,-73.920583
K,12th St,327,"327 12th St, K, NYC",40.666752,-73.986064
Q,54th Pl,W,"W 54th Pl, Q, NYC",40.714661,-73.911619
NY,Broadway,2821,"2821 Broadway, NY, NYC",40.803494,-73.967532
K,Remsen St,153,"153 Remsen St, K, NYC",40.693536,-73.992113
NY,E 32nd St,200,"200 E 32nd St, NY, NYC",40.744034,-73.978926
NY,E 76th St,52,"52 E 76th St, NY, NYC",40.773836,-73.962705
NY,E 30th St,435,"435 E 30th St, NY, NYC",40.74078,-73.973892
BX,Walton Ave,845,"845 Walton Ave, BX, NYC",40.826606,-73.924763
Bronx,WORTHEN STREET,529,"529 WORTHEN STREET, Bronx, NYC",40.810647,-73.891497
Bronx,SHERIDAN AVENUE,1374,"1374 SHERIDAN AVENUE, Bronx, NYC",40.837998,-73.912828
NY,Madison Ave,340,"340 Madison Ave, NY, NYC",40.753907,-73.978829
NY,W 76th St,205,"205 W 76th St, NY, NYC",40.781605,-73.980091
K,Winthrop St,191,"191 Winthrop St, K, NYC",40.657064,-73.95391
K,N 6th St,90,"90 N 6th St, K, NYC",40.718864,-73.96086
Q,Steinway St,28-02,"28-02 Steinway St, Q, NYC",40.765435,-73.913961
K,E 8th St,W,"W E 8th St, K, NYC",40.622317,-73.96762
NY,W 150th St,610,"610 W 150th St, NY, NYC",40.829852,-73.949224
NY,EAST 112 STREET,300,"300 EAST 112 STREET, NY, NYC",40.794231,-73.939408
K,Webster Ave,131,"131 Webster Ave, K, NYC",40.630944,-73.975247
Q,Roosevelt Ave,81-16,"81-16 Roosevelt Ave, Q, NYC",40.74744,-73.884183
NY,W 116 ST,256,"256 W 116 ST, NY, NYC",40.804134,-73.955133
K,BRIDGE PARK DR,159,"159 BRIDGE PARK DR, K, NYC",40.6941,-74.000497
K,NEW YORK AV,1565,"1565 NEW YORK AV, K, NYC",40.634645,-73.944657
NY,E 82nd St,49,"49 E 82nd St, NY, NYC",40.778247,-73.960162
